title,subtitle,authors,categories,published_year,average_rating,num_pages,ratings_count
How to Read Literature Like a Professor,a Lively and Entertaining Guide to Reading Between the Lines,Thomas C. Foster,Literary Criticism,2003.0,3.65,314.0,14917.0
The Amazing Maurice and His Educated Rodents,,Terry Pratchett,Juvenile Fiction,2001.0,4.05,256.0,27463.0
The Wee Free Men,,Terry Pratchett,Juvenile Fiction,2004.0,4.27,390.0,72982.0
Going Postal,A Novel of Discworld,Terry Pratchett,Fiction,2004.0,4.38,377.0,924.0
Modern Mind,An Intellectual History of the 20th Century,Peter Watson,Science,2002.0,4.27,847.0,570.0
She Went All the Way,,Meg Cabot,Fiction,2002.0,3.69,357.0,12297.0
Island,,Aldous Huxley,Fiction,1962.0,3.85,354.0,17583.0
A Year in the Life of William Shakespeare,1599,James Shapiro,Biography & Autobiography,2006.0,4.09,333.0,2229.0
Lucy Sullivan Is Getting Married,,Marian Keyes,Fiction,2002.0,3.76,640.0,42096.0
The Terminal Man,,Michael Crichton,Fiction,2002.0,3.36,266.0,20825.0
The Art of the Novel,,Milan Kundera,Literary Criticism,2003.0,3.96,176.0,3544.0
The Bromeliad Trilogy,"Truckers, Diggers, and Wings",Terry Pratchett,Juvenile Fiction,2003.0,4.06,502.0,5681.0
"Merry Christmas, Amelia Bedelia",,Peggy Parish,Juvenile Fiction,2002.0,4.29,64.0,2452.0
Identity,A Novel,Milan Kundera,Fiction,1998.0,3.68,176.0,260.0
The thief of always,a fable,Clive Barker,Fiction,1992.0,4.19,225.0,22123.0
The Illustrated Alchemist,A Fable About Following Your Dream,Paulo Coelho;Alan R. Clarke;Moebius,Fiction,1998.0,3.85,198.0,236.0
Mars and Venus Book of Days,365 Inspriations to Enrich Your Relationships,John Gray,Family & Relationships,1998.0,3.54,368.0,18.0
The Last of the Really Great Whangdoodles,,Julie Andrews Edwards,Juvenile Fiction,1996.0,4.25,209.0,9963.0
Today I Feel Silly & Other Moods That Make My Day,,Jamie Lee Curtis,Juvenile Fiction,1998.0,4.15,40.0,4030.0
The Missing Piece Meets the Big O,,Shel Silverstein,Juvenile Fiction,1981.0,4.33,104.0,10010.0
